"Please select a store.","Please select a store."
"Please select time interval.","Please select time interval."
"Store Pickup With Locator Data","Store Pickup With Locator Data"
"Select Store To Collect Your Order","Select Store To Collect Your Order"
"Pickup Date","Pickup Date"
"Pickup Time","Pickup Time"
by,by
"Confused with configuration? No worries, please consult the <a target=""_blank"" href=""%1"">user guide</a> to properly configure the extension.","Confused with configuration? No worries, please consult the <a target=""_blank"" href=""%1"">user guide</a> to properly configure the extension."
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Choose a Pickup Date","Choose a Pickup Date"
"Choose a Time Slot","Choose a Time Slot"
"Shipping Address Area","Shipping Address Area"
"Shipping Methods Area","Shipping Methods Area"
"Store Pickup Date/Time is not valid.","Store Pickup Date/Time is not valid."
"Unable to save model %1","Unable to save model %1"
"Entity with specified ID ""%1"" not found.","Entity with specified ID ""%1"" not found."
"Unable to remove entity with ID%","Unable to remove entity with ID%"
". ':'",". ':'"
". ' - ' .",". ' - ' ."
"If you select Store Pickup With Locator shipping method, 
                        please insert data to additional fields for save.","If you select Store Pickup With Locator shipping method, 
                        please insert data to additional fields for save."
"Store ID is not specified. Please, choose a store for pickup.","Store ID is not specified. Please, choose a store for pickup."
"Store Pickup With Locator","Store Pickup With Locator"
"Pick up here","Pick up here"
" can be found at the following stores:&nbsp;"," can be found at the following stores:&nbsp;"
"Current location","Current location"
"Search Radius","Search Radius"
km,km
mi,mi
"Locate Nearby","Locate Nearby"
Filter,Filter
"Please Select","Please Select"
Reset,Reset
"Choose on map","Choose on map"
"Pickup Point Details","Pickup Point Details"
"Choose a Store","Choose a Store"
"Editing is not applicable for the selected shipping method","Editing is not applicable for the selected shipping method"
"Please, choose a store where you would like to pick up your order","Please, choose a store where you would like to pick up your order"
"Choose a store...","Choose a store..."
Information,Information
General,General
"Extension Enabled","Extension Enabled"
"Check Product Availability in Stores on Checkout and Cart","Check Product Availability in Stores on Checkout and Cart"
"Store Details Description Template","Store Details Description Template"
"Where to Display Store Details","Where to Display Store Details"
"Date Settings","Date Settings"
"Allow Customers to Choose Pickup Date","Allow Customers to Choose Pickup Date"
"Allow Same Day Pickup","Allow Same Day Pickup"
"Time Settings","Time Settings"
"Allow Customers to Choose Pickup Time","Allow Customers to Choose Pickup Time"
"Same Day Pickup Cut-off Time","Same Day Pickup Cut-off Time"
"Min. Time Required to Handle Order (Hours)","Min. Time Required to Handle Order (Hours)"
"Works based on calendar days.","Works based on calendar days."
"Min. Time Required to Handle Backorder (Hours)","Min. Time Required to Handle Backorder (Hours)"
"Works based on calendar days.<br/><strong>Note:</strong> the current setting is non-applicable for Magento 2.3.* versions due to MSI peculiarities.","Works based on calendar days.<br/><strong>Note:</strong> the current setting is non-applicable for Magento 2.3.* versions due to MSI peculiarities."
"In-Store Pickup","In-Store Pickup"
Enabled,Enabled
Title,Title
"Method Name","Method Name"
Price,Price
"Calculate Handling Fee","Calculate Handling Fee"
"Default Handling Fee","Default Handling Fee"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Sort Order","Sort Order"
"Select a store to collect your order:","Select a store to collect your order:"
"Pickup Date:","Pickup Date:"
"Pickup Time:","Pickup Time:"
