"Content and Design","Content and Design"
"Content","Content"
"Pop-up CSS","Pop-up CSS"
"CSS change popup design. If blank, default will be used.","CSS change popup design. If blank, default will be used."
"Display Setting","Display Setting"
"Display Rule","Display Rule"
"X equals (seconds)","X equals (seconds)"
"Enter a number here. Ex: 2","Enter a number here. Ex: 2"
"X equals (%)","X equals (%)"
"X equals","X equals"
"Display Animation","Display Animation"
"Display on Page","Display on Page"
"Exclude Categories","Exclude Categories"
"Enter IDs of Categories to be excluded from the Display Rule. Example: 3,4,5","Enter ID of Categories to be excluded from the Display Rule. Example: 3,4,5"
"Exclude Products","Exclude Products"
"Enter IDs of Products to be excluded from the Display Rule. Example: 3,4,5","Enter ID of Products to be excluded from the Display Rule. Example: 3,4,5"
"Position","Position"
"Auto Close Pop-up After","Auto Close Pop-up After"
"Enter the amount of time (seconds) for the pop-up to automatically close. Ex: 10. Enter “0” to disable auto close of Pop-up","Enter the amount of time (seconds) for the pop-up to automatically close. Ex: 10. Enter “0” to disable auto close of Pop-up"
"Display Frequency","Display Frequency"
"Cookie Expires (minutes)","Cookie Expires (minutes)"
"General Information","General Information"
"Enable","Enable"
"Name","Name"
"Store Views","Store Views"
"Customer Groups","Customer Groups"
"Start Date","Start Date"
"End Date","End Date"
"Priority","Priority"
"Pop-up Information","Pop-up Information"
"Delete","Delete"
"Save and Continue Edit","Save and Continue Edit"
"Save Pop-up","Save Pop-up"
"New Pop-up","New Pop-up"
"The Pop-up has been deleted.","The Pop-up has been deleted."
"Pop-up to delete was not found.","Pop-up to delete was not found."
"This Pop-up no longer exists.","This Pop-up no longer exists."
"Manage Pop-up","Manage Pop-up"
"A total of %1 record(s) have been avtived.","A total of %1 record(s) have been avtived."
"A total of %1 record(s) have been deactived.","A total of %1 record(s) have been deactived."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Pop-up","Pop-up"
"The Pop-up has been saved.","The Pop-up has been saved."
"None","None"
"Zoom","Zoom"
"Horizontal Move","Horizontal Move"
"Move from top","Move from top"
"3D Unfold","3D Unfold"
"Zoom-out","Zoom-out"
"After customers spend X seconds on page","After customers spend X seconds on page"
"After customers scroll page by X percent","After customers scroll page by X percent"
"After customers view X pages","After customers view X pages"
"Immediately when customers visit page","Immediately when customers visit page"
"When all conditions are satisfied","When all conditions are satisfied"
"Only once","Only once"
"Only once per session","Only once per session"
"Home Page","Home Page"
"Category Page","Category Page"
"Product Page","Product Page"
"Cart Page","Cart Page"
"Checkout Page","Checkout Page"
"All Other Pages","All Other Pages"
"Top Left","Top Left"
"Top Center","Top Center"
"Top Right","Top Right"
"Middle Left","Middle Left"
"Middle Center","Middle Center"
"Middle Right","Middle Right"
"All Store View","All Store View"
"Are you sure you wan't to delete selected Pop-up(s)?","Are you sure you wan't to delete selected Pop-up(s)?"
"Delete Pop-up","Delete Pop-up"
"Enable Pop-up","Enable Pop-up"
"Are you sure you wan't to enable selected Pop-up(s)?","Are you sure you wan't to enable selected Pop-up(s)?"
"Disable","Disable"
"Are you sure you wan't to disable selected Pop-up(s)?","Are you sure you wan't to disable selected Pop-up(s)?"
